price,bathrooms_group,bedrooms_group,sqft_living,sqft_lot,floors_group,waterfront,view_group,condition_group,city,house_age,is_renovated,year_since_renovation,zipcode,sqft_above,sqft_basement,yr_built,yr_renovated,floors,bedrooms,bathrooms,view,condition
313000,2,3,1340,7912,1.5,0,No View,3,Shoreline,70,1,20,98133,1340,0,1955,2005,1.5,3,1.5,0,3
2384000,3,5,3650,9050,2,0,Great View,5,Seattle,104,0,0,98119,3370,280,1921,0,2,5,2.5,4,5
342000,2,3,1930,11947,1,0,No View,4,Kent,59,0,0,98042,1930,0,1966,0,1,3,2,0,4
420000,3,3,2000,8030,1,0,No View,4,Bellevue,62,0,0,98008,1000,1000,1963,0,1,3,2.25,0,4
550000,3,4,1940,10500,1,0,No View,4,Redmond,49,1,33,98052,1140,800,1976,1992,1,4,2.5,0,4
490000,1_or_fewer,2,880,6380,1,0,No View,3,Seattle,87,1,31,98115,880,0,1938,1994,1,2,1,0,3
335000,2,2,1350,2560,1,0,No View,3,Redmond,49,0,0,98052,1350,0,1976,0,1,2,2,0,3
482000,3,4,2710,35868,2,0,No View,3,Maple Valley,36,0,0,98038,2710,0,1989,0,2,4,2.5,0,3
452500,3,3,2430,88426,1,0,No View,4,North Bend,40,0,0,98045,1570,860,1985,0,1,3,2.5,0,4
640000,2,4,1520,6200,1.5,0,No View,3,Seattle,80,1,15,98115,1520,0,1945,2010,1.5,4,2,0,3
463000,2,3,1710,7320,1,0,No View,3,Lake Forest Park,77,1,31,98155,1710,0,1948,1994,1,3,1.75,0,3
1400000,3,4,2920,4000,1.5,0,No View,5,Seattle,116,1,37,98105,1910,1010,1909,1988,1.5,4,2.5,0,5
588500,2,3,2330,14892,1,0,No View,3,Sammamish,45,0,0,98074,1970,360,1980,0,1,3,1.75,0,3
365000,1_or_fewer,3,1090,6435,1,0,No View,4,Seattle,70,1,16,98106,1090,0,1955,2009,1,3,1,0,4
1200000,3,5,2910,9480,1.5,0,No View,3,Seattle,86,1,56,98105,2910,0,1939,1969,1.5,5,2.75,0,3
242500,2,3,1200,9720,1,0,No View,4,Kent,60,0,0,98042,1200,0,1965,0,1,3,1.5,0,4
419000,2,3,1570,6700,1,0,No View,4,Bellevue,69,0,0,98007,1570,0,1956,0,1,3,1.5,0,4
367500,3,4,3110,7231,2,0,No View,3,Auburn,28,0,0,98092,3110,0,1997,0,2,4,3,0,3
257950,2,3,1370,5858,1,0,No View,3,Des Moines,38,1,25,98198,1370,0,1987,2000,1,3,1.75,0,3
275000,2,3,1180,10277,1,0,No View,3,North Bend,42,1,16,98045,1180,0,1983,2009,1,3,1.5,0,3
750000,2,3,2240,10578,2,0,No View,5,Seattle,102,0,0,98115,1550,690,1923,0,2,3,1.75,0,5
435000,1_or_fewer,4,1450,8800,1,0,No View,4,Bellevue,71,1,46,98006,1450,0,1954,1979,1,4,1,0,4
626000,3,3,1750,1572,3,0,No View,3,Seattle,20,0,0,98102,1470,280,2005,0,2.5,3,2.25,0,3
612500,3,4,2730,12261,2,0,No View,3,Bothell,34,0,0,98011,2730,0,1991,0,2,4,2.5,0,3
495000,2,4,1600,6380,1,0,No View,3,Seattle,66,1,36,98125,1130,470,1959,1989,1,4,1.75,0,3
285000,3,3,2090,10834,1,0,No View,4,Federal Way,38,0,0,98003,1360,730,1987,0,1,3,2.5,0,4
615000,2,3,2360,7291,1,0,No View,4,Seattle,77,0,0,98136,1360,1000,1948,0,1,3,1.75,0,4
698000,3,4,2200,11250,1.5,0,No View,5,Kirkland,105,0,0,98033,1300,900,1920,0,1.5,4,2.25,0,5
675000,3,5,2820,67518,2,0,No View,3,Issaquah,46,1,11,98029,2820,0,1979,2014,2,5,2.5,0,3
790000,3,3,2600,4750,1,0,No View,4,Seattle,74,1,26,98117,1700,900,1951,1999,1,3,2.5,0,4
382500,2,4,1560,8700,1,0,No View,4,Kirkland,58,0,0,98034,1560,0,1967,0,1,4,1.75,0,4
499950,3,4,2860,3345,2,0,No View,3,Woodinville,21,1,22,98072,2190,670,2004,2003,2,4,2.5,0,3
